"Production of metallic, non-metallic, aggregates, clay and refractory minerals in quantities, annual 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 16-10-0022-01"
"Release date: 2026-02-25"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada",,,,,,
4,"As of March 2024, dollar values for all reference periods are presented in thousands of dollars."
5,"As of March 2024, region-level data was discontinued."
6,"The Department of Industry, Energy and Technology of Newfoundland and Labrador provides provincial data on the quantities of secondary aggregates namely stone, sand and gravel to Statistics Canada."
7,"Starting with reference year 2024, an establishment engaged in the extraction of sand, gravel or stone as a secondary activity is excluded from the survey if the production value is less than $100,000. For Quebec, the Institut de la Statistique du Québec excluded establishments with one employee or less starting with reference year 2024. For reference years from 2019 to 2023, an establishment is excluded if the production value is less than $10,000. For Quebec, the Institut de la Statistique du Québec did not apply an exclusion threshold for reference years from 2019 to 2023."
8,"This product is a critical mineral."
9,"This product is a metallic mineral."
11,"Lithium concentrates include lithium-silicate (i.e. spodumene concentrates), and lithium-salt concentrates. For reference years 2019 to 2023, lithium concentrates only contains values for spodumene concentrates."
12,"This group of products are critical minerals."
13,"This group of products are metallic minerals."
14,"The platinum group includes iridium, palladium, platinum, rhodium and ruthenium."
15,"This product is a non-metallic mineral."
16,"This group of products are non-metallic minerals."
17,"The salt group includes fine vacuum salt, in brine salt and rock salt."
18,"This product is an aggregate, clay or refractory mineral."
19,"This group of products are aggregates, clay or refractory minerals."
20,"The lime group includes quicklime and hydrated lime."
21,"The sand and gravel group includes silica sand, quartz crude and quartz milled as well as gravel (natural/crushed) and natural sand."
22,"The stone group includes granite, limestone, marble, sandstone, shale and slate."
10,"The values for closing inventories are not collected for recoverable metals in this survey."



"How to cite: Statistics Canada. Table 16-10-0022-01  Production of metallic, non-metallic, aggregates, clay and refractory minerals in quantities, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610002201
