"Production of metallic minerals in quantities, monthly c 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0019-01"
"Release date: 2026-03-20"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products","Variables","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
,"Closing inventories","x","5,722,000","x","5,783,000","7,712,000","x","5,552,000","4,044,000","3,586,000","2,593,000","2,801,000","2,896,000","3,470,278","x","2,734,398","2,880,248","3,356,192","1,248,175","2,481,537","2,541,537","4,020,902","5,261,926","4,818,926","4,791,139","5,485,139","6,341,451","7,049,474","7,321,043","6,707,396","4,604,702","4,757,348","4,776,875","4,684,820","5,392,648","4,543,987","6,245,792","6,102,949","5,211,437","4,841,456","5,874,562","4,062,660","4,863,163","2,010,629","x","8,537,461","7,654,876","2,795,293","7,893,032","7,391,559","7,631,501","6,812,313","5,690,125","1,900,116","7,594,355","6,496,680","6,165,833","4,936,291","5,188,914","6,661,303","8,924,326","2,151,721","x","6,509,072","3,215,957","3,293,784","4,437,009","x","9,524,150","5,805,358","6,388,230","8,362,944","10,901,061","7,448,331"
"Germanium, refined (kilograms) 4 5","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Gold and silver bullion, crude and dore (kilograms) 7","Quantity produced","17,724","16,951","17,332","8,086","15,919","18,131","17,049","18,943","19,746","19,292","19,320","22,598","18,710","16,804","21,714","18,959","19,964","17,518","17,077","17,734","18,421","16,934","17,332","21,545","15,811","15,362","19,499","16,721","17,781","19,220","16,540","17,731","18,529","17,715","18,328","21,372","18,975","18,090","21,677","16,173","18,237","17,242","15,688","16,874","15,906","17,412","17,664","19,644","17,575","17,273","16,757","16,458","18,786","18,540","16,426","16,681","15,624","16,590","16,397","18,079","18,793","16,816","19,507","18,015","17,303","19,068","19,753","19,879","18,166","19,833","17,780","18,990","19,309"
,"Quantity shipped","18,248","15,684","20,367","8,208","13,921","18,959","15,648","15,941","21,720","17,018","18,647","24,833","15,431","16,526","24,747","16,476","18,561","19,853","16,140","17,174","18,936","14,886","15,810","23,255","13,984","14,852","21,434","14,587","17,548","22,329","14,822","17,448","20,299","15,155","18,830","22,297","17,076","18,830","22,295","14,145","17,877","18,692","13,419","16,497","16,677","14,575","17,844","22,101","15,213","15,901","19,549","13,258","17,304","21,960","14,088","13,967","19,654","13,813","13,976","22,420","15,486","15,692","22,562","15,322","15,547","23,241","18,082","18,350","21,671","16,502","17,568","21,082","17,201"
,"Closing inventories","11,673","12,981","10,705","9,708","13,015","12,149","12,368","15,179","13,217","15,471","16,032","13,126","16,351","16,722","14,240","16,596","16,831","12,479","13,945","10,114","9,024","11,083","12,021","9,421","11,301","11,177","9,613","9,874","10,297","7,977","9,764","10,068","8,404","10,590","9,737","8,813","9,694","10,004","8,995","9,486","8,654","8,337","10,232","10,492","9,197","11,325","10,652","7,995","10,084","11,565","8,236","11,017","11,715","8,426","9,851","11,850","8,313","10,530","13,002","8,028","11,957","12,621","9,825","11,587","12,983","8,915","11,162","12,876","8,963","12,441","12,345","11,186","9,963"
"Gold, concentrates (kilograms) 7","Quantity produced","972","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","753","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","0","x","0","0","x","0","x","x","0","x","0","x","0","x","0","x","x","0","x","x","0","x","x","x"
,"Closing inventories","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","2,443","321","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
